@relation 'MLC'

@attribute F1_ABS_VARIANCE_ACC_V_FILTER_1 numeric
@attribute F2_ABS_PEAK_TO_PEAK_ACC_V_FILTER_1 numeric
@attribute class {still, motion}

@data
1.33514e-05, 0.0146484, still
1.0252e-05, 0.0136719, still
1.65701e-05, 0.0161133, still
7.53999e-05, 0.0317383, still
2.19941e-05, 0.0209961, still
1.4782e-05, 0.019043, still
9.77516e-06, 0.0112305, still
2.91467e-05, 0.0209961, still
8.58307e-06, 0.0146484, still
2.07424e-05, 0.0146484, still
1.3411e-05, 0.0131836, still
1.42455e-05, 0.012207, still
2.22921e-05, 0.019043, still
1.07884e-05, 0.0141602, still
6.13928e-06, 0.0112305, still
7.689e-06, 0.0102539, still
8.04663e-06, 0.0107422, still
1.64509e-05, 0.0161133, still
1.62125e-05, 0.0146484, still
1.10865e-05, 0.0117188, still
1.82986e-05, 0.0185547, still
5.24521e-06, 0.0131836, still
8.28505e-06, 0.0141602, still
1.23382e-05, 0.0170898, still
1.86563e-05, 0.0195313, still
1.5378e-05, 0.0180664, still
7.33137e-06, 0.0112305, still
1.41859e-05, 0.0141602, still
1.51992e-05, 0.0166016, still
1.13845e-05, 0.0107422, still
1.57952e-05, 0.0151367, still
8.9407e-06, 0.0107422, still
1.74046e-05, 0.0146484, still
8.16584e-06, 0.0136719, still
8.10623e-06, 0.0112305, still
1.7643e-05, 0.0146484, still
1.46627e-05, 0.0151367, still
1.14441e-05, 0.0136719, still
1.97291e-05, 0.0175781, still
1.23978e-05, 0.015625, still
1.20401e-05, 0.0131836, still
1.48416e-05, 0.0161133, still
1.38879e-05, 0.0151367, still
1.7941e-05, 0.0131836, still
8.16584e-06, 0.00976563, still
7.21216e-06, 0.0107422, still
7.39098e-06, 0.0112305, still
9.53674e-06, 0.0141602, still
1.85966e-05, 0.0180664, still
2.30074e-05, 0.0170898, still
6.25849e-06, 0.0117188, still
1.46031e-05, 0.012207, still
9.05991e-06, 0.012207, still
1.88947e-05, 0.0141602, still
1.18613e-05, 0.015625, still
1.10269e-05, 0.0146484, still
1.94907e-05, 0.0180664, still
2.0504e-05, 0.0180664, still
6.25849e-06, 0.0136719, still
1.18017e-05, 0.0126953, still
1.13845e-05, 0.0170898, still
2.8491e-05, 0.0239258, still
1.66297e-05, 0.0141602, still
